table_name,table_type,remarks
A_00_Clase_Vehículo,TABLE,
A_00_Coches,TABLE,
A_00_Estado_Habilitación,TABLE,
A_00_Formaciones,TABLE,
A_00_Kilometrajes,TABLE,
A_00_Módulos,TABLE,
A_00_Observaciones,TABLE,
A_00_OT_Simaf,TABLE,
A_00_Próxima_Tarea,TABLE,
A_00_Tareas,TABLE,
A_01_Grupos,TABLE,
A_01_Lista_Materiales,TABLE,
A_01_Remplazo_Materiales,TABLE,
A_01_Tipo_Novedad,TABLE,
A_08_Organos_Parque,TABLE,
A_12_Accidentales_Anexar,TABLE,
A_12_Accidentales_Tabla,TABLE,
A_14_Cambio_Coches,TABLE,
A_14_Cambio_Módulos,TABLE,
A_15_Lavados,TABLE,
A_17_Módulos_Bajo_Seguimiento,TABLE,
A_17_Seguimientos,TABLE,
A_30_Matafuefos,TABLE,
A_31_Descarga_Eventos,TABLE,
A_32_Medición_Torno_Semestral,TABLE,
A_40_Auditoria de Documentos,TABLE,
B_01_Materiales,TABLE,
B_01_Novedades,TABLE,
B_02_Mantenimientos,TABLE,
B_03_Actuaciones_VBC,TABLE,
B_04_Compresor_Toshiba,TABLE,
B_05_Punta_de_Eje,TABLE,
B_06_Pastilla_Freno_Mínima,TABLE,
B_07_Placa_Pantógrafo,TABLE,
B_08_Organos_Parque,TABLE,
B_09_Ensayo_Ultrasonido,TABLE,
B_10_Rodados,TABLE,
B_19_Altura_Acople,TABLE,
B_20_Escobillas_MT,TABLE,
B_21_Medición_Alturas,TABLE,
B_22_Escobillas_MA,TABLE,
B_23_Medición_Crítica,TABLE,
C_01_Materiales,TABLE,
C_01_Novedades,TABLE,
C_02_Mantenimientos,TABLE,
C_03_Actuaciones_VCB,TABLE,
C_04_Compresor_CSR,TABLE,
C_06_Pastilla_Freno_Mínima,TABLE,
C_07_Placa_Pantógrafo,TABLE,
C_08_Organos_Parque,TABLE,
C_09_Ensayo_Ultrasonido,TABLE,
C_10_Rodados,TABLE,
C_11_ATS,TABLE,
C_16_Acople_Automático,TABLE,
C_18_Suplementos,TABLE,
Errores de pegado,TABLE,
Usuarios,TABLE,
